PC1,PC2,cluster
0.5096268002562911,-0.4563206231518097,0
0.7395423424922677,1.325317687611251,2
-1.746139816820452,0.39135829682557816,1
-0.7044541224639955,0.6571826069185084,1
1.6087913801717415,0.2549132646318857,0
-0.10098796656428528,1.260648762818227,2
-1.013377239647869,-0.039671202397139546,1
0.2510339577105457,1.612670687093063,2
1.2567694558969105,-0.09710865964295017,0
0.48809811086738836,1.0738734559863683,2
-1.0205672788818874,-0.4347919337629282,1
2.1978774576034157,0.06813795780002711,0
-1.1714338178568149,-0.5856584727378578,1
-1.4228780494816942,-0.8371027043627405,1
1.536932416144711,-0.9807377757904567,0
1.2926782237538499,-0.8370612760495507,0
0.9622264171810738,-0.003721006227020836,0
0.6820220286201216,-1.835648163315058,3
-0.2949533126301703,1.4546141088841094,2
-0.06507919870734595,0.5206961464116263,2
-0.6685453546070561,-0.0827700094880923,1
-1.4084979710136576,-0.04686124163116332,1
-0.259044544773231,0.7146614924775088,2
2.090109725719446,-0.4275604662157147,0
2.341553957344325,-0.17611623459083198,0
0.5096268002562911,-0.4563206231518097,0
-0.5176788156321286,0.06809652948683734,1
1.8602356117966208,0.5063574962567684,0
-1.0708561252068631,-0.48508078008790473,1
1.3860658771697834,-1.1316043147653865,0
1.5944113017037052,-0.5353281980996915,0
0.48809811086738836,1.0738734559863683,2
1.0340439528949525,-1.4836262390402222,3
0.2509925293973936,-1.1028855861424811,3
0.2797112580203147,-2.2379589339148707,3
-0.7691230472570079,-0.1833477021380454,1
0.08578734026758164,0.671562685386556,2
0.6030144536722246,-0.7508636618676453,0
-0.10098796656428528,1.260648762818227,2
0.08578734026758164,0.671562685386556,2
-1.207342585713754,0.1542941436687429,1
1.0556140705970072,-0.2982640449428563,0
0.20074511138556989,1.5623818407680863,2
-0.8194118935819837,-0.233636548463022,1
0.7898311888172437,1.3756065339362276,2
0.5383869571923644,1.124162302311345,2
-1.961675280588392,-0.6000385512059053,1
0.7395423424922677,1.325317687611251,2
0.4880566825542364,-1.6416828172491755,3
-0.36681227665720106,0.21896306846176694,1
-1.523455742131646,-0.9376803970126937,1
-0.007600313148351838,0.9661057241023914,2
-0.9056095077638989,0.45602722161860226,1
-0.043509081005290946,1.7060583405089922,2
-1.1714338178568149,-0.5856584727378578,1
1.0556140705970072,-0.2982640449428563,0
-0.15127681288926112,1.2103599164932504,2
-0.6182565082820803,-0.03248116316311577,1
-1.2145326249477724,-0.2408265876970458,1
1.3645371877808805,0.39858976437279164,0
0.43057779699524235,-2.087092394939941,3
-0.9056095077638989,0.45602722161860226,1
-0.8122218543479655,0.16148418290276667,1
-0.9558983540888747,0.4057383752936257,1
-0.3165234303322252,0.26925191478674354,1
-0.6470166652181535,-1.6129640886262704,3
0.8400786068290673,-1.2896608929743396,3
0.006738337006532621,-0.9592090864015752,3
1.1921005311038981,-0.9376389686995039,0
0.7323108749450974,-1.7853593169900817,3
0.09297737950159989,1.0666834167523445,2
-1.1714338178568149,-0.5856584727378578,1
-1.9113864342634161,-0.5497497048809288,1
0.07855587272041141,-2.4391143192147764,3
-0.8697007399069596,-0.2839253947879985,1
2.2481663039283912,0.11842680412500363,0
1.996722072303512,-0.13301742749987913,0
0.43057779699524235,-2.087092394939941,3
-1.0564760467388266,0.30516068264367263,1
-0.46738996930715276,0.11838537581181387,1
-0.10098796656428528,1.260648762818227,2
-0.2518545055392128,1.1097822238432973,2
-0.4027624728272925,-1.7566405883671763,3
0.30132280403552153,1.6629595334180394,2
-0.41710112298217694,0.1686742221367904,1
-0.7116441616980137,0.2620618755527198,1
0.5886758035173402,1.1744511486363214,2
-0.10098796656428528,1.260648762818227,2
-0.05788915947332766,0.9158168777774149,2
-0.00041027391433356275,1.36122645546818,2
0.2510339577105457,1.612670687093063,2
-1.8108087416134644,-0.4491720122309756,1
-0.6182565082820803,-0.03248116316311577,1
0.7107821855561945,-0.25516523785190354,0
-0.15846685212327938,0.8152391851274619,2
-0.24470589461834674,-1.210653318026458,3
-1.4084979710136576,-0.04686124163116332,1
0.34442161112647923,1.3181276483772273,2
-1.1714338178568149,-0.5856584727378578,1
-1.717421088197531,-0.7437150509468112,1
